               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  99,            0.027577,           0.0066298,           0.0019282,             0.97603,             0.98347,             0.97796,             0.51519,             0.03596,           0.0045644,           0.0016371,           0.0080596,           0.0080596,           0.0080596
                 100,             0.02833,            0.006478,           0.0029124,             0.97616,             0.98448,             0.97511,             0.50573,            0.033143,           0.0044568,           0.0014108,           0.0080398,           0.0080398,           0.0080398
                 101,            0.029364,            0.006755,           0.0017298,             0.97591,             0.98432,             0.97181,             0.51051,             0.03226,            0.004445,           0.0012556,             0.00802,             0.00802,             0.00802
                 102,             0.02712,           0.0064689,           0.0022022,             0.97724,             0.98484,             0.97184,             0.48804,            0.033159,           0.0045188,           0.0013465,           0.0080002,           0.0080002,           0.0080002
                 103,            0.027862,           0.0068397,           0.0018751,             0.97823,             0.98551,             0.97144,             0.45564,            0.035568,           0.0044457,           0.0013078,           0.0079804,           0.0079804,           0.0079804
                 104,            0.030171,           0.0060995,           0.0018038,             0.97896,             0.98571,             0.97151,             0.47371,            0.036383,              0.0045,           0.0013512,           0.0079606,           0.0079606,           0.0079606
                 105,            0.028129,           0.0066711,           0.0021184,             0.98113,             0.98571,             0.97363,             0.52276,            0.034678,           0.0044607,           0.0013051,           0.0079408,           0.0079408,           0.0079408
                 106,            0.025333,           0.0064761,           0.0027317,             0.98171,             0.98571,             0.97374,             0.57116,            0.032353,           0.0043103,           0.0011963,            0.007921,            0.007921,            0.007921
                 107,             0.02618,           0.0059722,           0.0020564,             0.98132,             0.98571,             0.97329,             0.54238,            0.032299,           0.0043597,           0.0011445,           0.0079012,           0.0079012,           0.0079012
                 108,            0.027692,           0.0061833,            0.001662,             0.97653,              0.9672,             0.97052,             0.52628,            0.034045,           0.0044478,            0.001085,           0.0078814,           0.0078814,           0.0078814
                 109,            0.028824,           0.0056571,           0.0018869,             0.98241,             0.98571,             0.97328,             0.54545,            0.033123,           0.0044807,           0.0011206,           0.0078616,           0.0078616,           0.0078616
                 110,            0.029272,           0.0061533,           0.0028202,             0.98261,             0.98571,             0.97447,             0.47794,             0.03189,           0.0045291,           0.0011018,           0.0078418,           0.0078418,           0.0078418
                 111,            0.027548,           0.0059776,           0.0015474,             0.98054,             0.98571,             0.97768,             0.49221,            0.032572,           0.0045605,           0.0011134,            0.007822,            0.007822,            0.007822
                 112,            0.025147,           0.0066041,           0.0017377,             0.98272,             0.98429,             0.97662,             0.55624,            0.026948,           0.0045594,           0.0011832,           0.0078022,           0.0078022,           0.0078022
                 113,            0.027691,           0.0062897,           0.0019193,             0.98311,             0.98571,             0.98059,             0.62384,            0.026271,           0.0043946,           0.0011278,           0.0077824,           0.0077824,           0.0077824
                 114,            0.029402,           0.0064461,           0.0019366,             0.98061,             0.98571,             0.97727,             0.60893,            0.031293,           0.0044514,           0.0010573,           0.0077626,           0.0077626,           0.0077626
                 115,            0.028185,            0.006181,            0.001712,             0.97926,             0.98568,             0.98145,             0.59391,            0.028057,           0.0044215,           0.0010584,           0.0077428,           0.0077428,           0.0077428
                 116,            0.026348,           0.0063456,            0.001702,             0.97889,             0.98571,             0.97984,             0.60548,            0.028064,           0.0044533,           0.0011138,            0.007723,            0.007723,            0.007723
                 117,            0.029006,           0.0061063,           0.0020154,              0.9805,             0.98342,             0.98014,             0.60977,             0.02655,           0.0044552,           0.0011645,           0.0077032,           0.0077032,           0.0077032
                 118,             0.02618,           0.0062823,           0.0021483,             0.99503,             0.99727,               0.995,             0.56719,            0.029715,           0.0046386,           0.0013059,           0.0076834,           0.0076834,           0.0076834
                 119,            0.025212,           0.0056187,           0.0017018,             0.97577,             0.98304,             0.97735,             0.53125,            0.033946,           0.0046459,           0.0013257,           0.0076636,           0.0076636,           0.0076636
                 120,            0.027767,           0.0067737,           0.0020201,             0.97616,             0.98342,             0.97859,             0.49035,            0.038199,           0.0044783,           0.0013208,           0.0076438,           0.0076438,           0.0076438
                 121,            0.025661,           0.0065116,            0.001484,             0.97765,             0.98409,             0.98229,             0.56587,            0.029166,           0.0042972,           0.0012678,            0.007624,            0.007624,            0.007624
                 122,            0.026565,           0.0055005,           0.0013162,             0.99678,             0.99898,               0.995,             0.56858,            0.028635,           0.0042615,           0.0010837,           0.0076042,           0.0076042,           0.0076042
                 123,            0.027586,           0.0064128,           0.0016295,             0.98433,             0.98571,             0.98199,             0.59454,            0.026856,           0.0042779,           0.0009639,           0.0075844,           0.0075844,           0.0075844
                 124,            0.026851,           0.0057889,           0.0011352,              0.9833,             0.98571,             0.98241,             0.59245,            0.030768,           0.0043199,          0.00087286,           0.0075646,           0.0075646,           0.0075646
                 125,             0.02563,           0.0060267,           0.0013726,             0.98402,             0.98326,             0.98082,             0.55326,            0.031589,           0.0042243,          0.00084606,           0.0075448,           0.0075448,           0.0075448
                 126,            0.025807,           0.0061003,           0.0020692,             0.97774,             0.98461,             0.97834,             0.53792,            0.031441,           0.0043353,          0.00088266,            0.007525,            0.007525,            0.007525
                 127,            0.028788,           0.0056529,           0.0012935,             0.98293,             0.98571,             0.97908,             0.60337,            0.029896,           0.0043382,          0.00088812,           0.0075052,           0.0075052,           0.0075052
                 128,            0.026176,           0.0058263,           0.0014881,             0.98352,             0.98571,             0.97914,             0.57062,             0.03138,           0.0043466,          0.00088585,           0.0074854,           0.0074854,           0.0074854
                 129,            0.025346,           0.0061267,           0.0025738,             0.98086,             0.98571,               0.978,             0.60483,            0.030212,           0.0043643,          0.00080717,           0.0074656,           0.0074656,           0.0074656
                 130,            0.029518,           0.0067498,           0.0021632,             0.98341,             0.98571,             0.98102,             0.55515,            0.033077,           0.0045176,          0.00072643,           0.0074458,           0.0074458,           0.0074458
                 131,            0.027525,           0.0058389,           0.0026832,             0.98328,             0.98571,              0.9791,             0.55314,            0.032257,           0.0044124,          0.00082499,            0.007426,            0.007426,            0.007426
                 132,            0.025756,           0.0063415,           0.0021518,              0.9833,             0.98571,             0.97883,             0.55999,            0.030283,           0.0043617,          0.00086229,           0.0074062,           0.0074062,           0.0074062
                 133,            0.027312,           0.0058078,           0.0017994,             0.93203,             0.93439,             0.94217,             0.49019,            0.036399,            0.004525,          0.00086832,           0.0073864,           0.0073864,           0.0073864
                 134,            0.027119,            0.006009,           0.0021634,             0.94391,             0.94838,              0.9456,             0.48956,            0.034429,           0.0046143,          0.00090551,           0.0073666,           0.0073666,           0.0073666
                 135,            0.025198,           0.0061537,           0.0023088,             0.98156,             0.98571,             0.97629,             0.54528,            0.029628,           0.0045372,          0.00081337,           0.0073468,           0.0073468,           0.0073468
                 136,            0.025902,           0.0055849,           0.0015464,              0.9836,             0.98571,             0.97661,             0.56821,            0.030914,           0.0045024,          0.00081953,            0.007327,            0.007327,            0.007327
                 137,            0.024369,           0.0062452,           0.0017916,             0.98373,             0.98571,             0.97817,             0.52263,            0.030765,            0.004643,          0.00079612,           0.0073072,           0.0073072,           0.0073072
